name,number,game_id,place,date
"Квиз, плиз! ",#888,64403,Papa' S Bar & Grill,"6 октября, Пятница"
[Лихие 90-е] ,#1,64410,Papa' S Bar & Grill,"5 октября, Четверг"
[Телеигры] ,#3,64414,Резиденция,"5 октября, Четверг"
"Квиз, плиз! ",#888,64420,Chesterfield Bar,"5 октября, Четверг"
"Квиз, плиз! ",#888,64402,CLUB LIBERTY BAR,"5 октября, Четверг"
"Квиз, плиз!.jpeg ",#5,64408,Bla Bla Bar,"5 октября, Четверг"
[Eurovision] ,#1,64242,Резиденция,"4 октября, Среда"
[новички] ,#887,64404,Old School Pub,"4 октября, Среда"
"Квиз, плиз! ",#887,64419,Chesterfield Bar,"4 октября, Среда"
[кино и музыка] ,#142,64413,Резиденция,"3 октября, Вторник"
"Квиз, плиз! ",#887,64418,Chesterfield Bar,"3 октября, Вторник"
"Квиз, плиз! ",#887,64412,Резиденция,"2 октября, Понедельник"
"Квиз, плиз!.jpeg ",#5,64209,Chesterfield Bar,"2 октября, Понедельник"
300к1 [стрим] ,#4,64399,"Везде, где есть интернет","1 октября, Воскресенье"
"Квиз, плиз! ",#886,64012,Chesterfield Bar,"1 октября, Воскресенье"
[music party] рашн эдишн ,#2,63994,Резиденция,"1 октября, Воскресенье"
[Гарри Поттер] Битва факультетов ,#1,64013,Chesterfield Bar,"1 октября, Воскресенье"
"Квиз, плиз! ",#886,64011,Chesterfield Bar,"30 сентября, Суббота"
"Квиз, плиз! [стрим] ",#371,64398,"Везде, где есть интернет","30 сентября, Суббота"
"Квиз, плиз! ",#885,63993,Резиденция,"30 сентября, Суббота"
"Квиз, плиз! ",#886,64003,"Дорогая, я перезвоню","30 сентября, Суббота"
[кино и музыка] ,#142,63999,Old School Pub,"30 сентября, Суббота"
[Телеигры] ,#3,64010,Chesterfield Bar,"30 сентября, Суббота"
[кино и музыка] ,#142,64063,Известия Hall,"29 сентября, Пятница"
[Лихие 90-е] ,#1,64005,CLUB LIBERTY BAR,"29 сентября, Пятница"
"Квиз, плиз! ",#885,63992,Резиденция,"29 сентября, Пятница"
"Квиз, плиз! ",#886,64009,Chesterfield Bar,"29 сентября, Пятница"
"Квиз, плиз! [стрим] ",#370,64397,"Везде, где есть интернет","29 сентября, Пятница"
"Квиз, плиз! ",#885,64001,Papa' S Bar & Grill,"29 сентября, Пятница"
"[English, please!] ",#884,64002,"Дорогая, я перезвоню","28 сентября, Четверг"
[MARVEL] ,#4,63839,Резиденция,"28 сентября, Четверг"
[аниме] ,#2,64004,CLUB LIBERTY BAR,"28 сентября, Четверг"
"Квиз, плиз! ",#885,64008,Chesterfield Bar,"28 сентября, Четверг"
"Квиз, плиз! ",#885,64000,Bla Bla Bar,"28 сентября, Четверг"
[Гарри Поттер] Битва факультетов ,#1,63991,Резиденция,"27 сентября, Среда"
[новички] ,#884,63998,Old School Pub,"27 сентября, Среда"
"Квиз, плиз! ",#884,64007,Chesterfield Bar,"27 сентября, Среда"
"Квиз, плиз! ",#884,64006,Chesterfield Bar,"26 сентября, Вторник"
Кино и музыка [новички] ,#141,63990,Резиденция,"26 сентября, Вторник"
[Телеигры] ,#3,63794,Chesterfield Bar,"25 сентября, Понедельник"
"Квиз, плиз! ",#884,63989,Резиденция,"25 сентября, Понедельник"
"Квиз, плиз! ",#883,63614,Chesterfield Bar,"24 сентября, Воскресенье"
Кино и музыка [стрим] ,#88,63997,"Везде, где есть интернет","24 сентября, Воскресенье"
[music party] рашн эдишн ,#2,63593,Резиденция,"24 сентября, Воскресенье"
[кино и музыка] ,#141,63616,Chesterfield Bar,"24 сентября, Воскресенье"
[afterparty] ,#3,63728,Резиденция,"23 сентября, Суббота"
"Квиз, плиз! ",#883,63613,Chesterfield Bar,"23 сентября, Суббота"
"Квиз, плиз! [стрим] ",#369,63996,"Везде, где есть интернет","23 сентября, Суббота"
[видеоигры] ,#7,63600,"Дорогая, я перезвоню","23 сентября, Суббота"
"Квиз, плиз! ",#882,63592,Резиденция,"23 сентября, Суббота"
[Гарри Поттер] Битва факультетов ,#1,63617,Chesterfield Bar,"23 сентября, Суббота"
"Квиз, плиз! ",#883,63595,Old School Pub,"23 сентября, Суббота"
[music party] рашн эдишн ,#2,63603,CLUB LIBERTY BAR,"22 сентября, Пятница"
[аниме] ,#2,63420,Известия Hall,"22 сентября, Пятница"
"Квиз, плиз! ",#882,63591,Резиденция,"22 сентября, Пятница"
"Квиз, плиз! ",#883,63609,Chesterfield Bar,"22 сентября, Пятница"
